,Nitrogen,Bacteria,MineralSalts,Plants,FreshH2OPlnktn,Worms,Geese,SnowBunting,Sandpiper,Ptarmigan,Insects,Dung,Diptera,Ducks,SmallSeaBirds,SkuaGulls,MarineAnimals,Seals,PolarBear,ArcticFox,Lepidurus,Reindeer
Nitrogen,,1,,,,,,,,,,,,,,,,,,,,
Bacteria,,,1,,1,,,,,,,,,,,,,,,,,
MineralSalts,,,,1,1,,,,,,,,,,,,,,,,,
Plants,,,,,,1,1,1,1,1,1,,,,,,,,,,,
FreshH2OPlnktn,,,,,,,,,,,,,1,1,,,,,,,1,
Worms,,,,,,,,,,,,,,,,,,,,,,
Geese,,,,,,,,,,,,,,,,,,,,,,
SnowBunting,,,,,,,,,,,,,,,,,,,,1,,
Sandpiper,,,,,,,,,,,,,,,,,,,,1,,
Ptarmigan,,,,,,,,,,,,,,,,,,,,1,,
Insects,,,,,,,,1,1,1,,,,,,,,,,,,-1
Dung,,1,,,,,,,,,,,,,,,,,,1,,
Diptera,,,,,,,,1,1,,,,,1,,,,,,,,
Ducks,,,,,,,,,,,,1,,,,,,,,1,,
SmallSeaBirds,,,,,,,,,,,,1,,,,1,,,,1,,
SkuaGulls,,,,,,,,,,,,1,,,,,,,,1,,
MarineAnimals,,,,,,,,,,,,,,,1,,,1,,,,
Seals,,,,,,,,,,,,,,,,,,,1,1,,
PolarBear,,,,,,,,,,,,1,,,,,,,,,,
ArcticFox,,,,,,,,,,,,,,,,,,,,,,
Lepidurus,,,,,,,,,1,,,,,,,,,,,,,
Reindeer,,,,-1,,,,,,,,1,,,,,,,,1,,
