"","Nitrogen","Bacteria","MineralSalts","Plants","FreshH2OPlnktn","Worms","Geese","SnowBunting","Sandpiper","Ptarmigan","Insects","Dung","Diptera","Ducks","SmallSeaBirds","SkuaGulls","MarineAnimals","Seals","PolarBear","ArcticFox","Lepidurus","Reindeer"
"Nitrogen",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria",0,0,-1,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1
"MineralSalts",0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1
"Plants",1,1,-1,-3,2,0,0,0,0,0,-4,1,1,1,2,1,3,1,1,0,0,4
"FreshH2OPlnktn",0,0,-1,-2,1,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,2
"Worms",1,1,-1,-3,2,1,0,0,0,0,-4,1,1,1,2,1,3,1,1,0,0,4
"Geese",1,1,-1,-3,2,0,1,0,0,0,-4,1,1,1,2,1,3,1,1,0,0,4
"SnowBunting",2,2,-3,-8,5,0,0,1,0,0,-9,2,3,2,4,2,6,2,2,0,0,10
"Sandpiper",2,2,-4,-10,6,0,0,0,1,0,-11,2,3,2,4,2,6,2,2,0,1,12
"Ptarmigan",2,2,-2,-6,4,0,0,0,0,1,-7,2,2,2,4,2,6,2,2,0,0,8
"Insects",1,1,-1,-3,2,0,0,0,0,0,-3,1,1,1,2,1,3,1,1,0,0,4
"Dung",-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1
"Diptera",0,0,-1,-2,1,0,0,0,0,0,-2,0,1,0,0,0,0,0,0,0,0,2
"Ducks",0,0,-2,-4,2,0,0,0,0,0,-4,0,1,1,0,0,0,0,0,0,0,4
"SmallSeaBirds",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"SkuaGulls",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
"MarineAnimals",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Seals",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"PolarBear",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
"ArcticFox",4,4,-11,-26,15,0,0,1,1,1,-29,5,8,6,12,6,18,6,5,1,1,32
"Lepidurus",0,0,-1,-2,1,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,1,2
"Reindeer",-1,-1,1,3,-2,0,0,0,0,0,3,-1,-1,-1,-2,-1,-3,-1,-1,0,0,-3
