"","Nitrogen","Bacteria","MineralSalts","Plants","FreshH2OPlnktn","Worms","Geese","SnowBunting","Sandpiper","Ptarmigan","Insects","Dung","Diptera","Ducks","SmallSeaBirds","SkuaGulls","MarineAnimals","Seals","PolarBear","ArcticFox","Lepidurus","Reindeer"
"Nitrogen",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria",2,2,5,1,4,0,0,0,0,0,1,2,2,2,4,2,6,2,2,0,0,1
"MineralSalts",2,2,6,1,4,0,0,0,0,0,1,2,2,2,4,2,6,2,2,0,0,1
"Plants",1,1,3,5,2,0,0,0,0,0,6,1,1,1,2,1,3,1,1,0,0,6
"FreshH2OPlnktn",4,4,3,2,3,0,0,0,0,0,2,4,4,4,8,4,12,4,4,0,0,2
"Worms",1,1,3,5,2,11,0,0,0,0,6,1,1,1,2,1,3,1,1,0,0,6
"Geese",1,1,3,5,2,0,11,0,0,0,6,1,1,1,2,1,3,1,1,0,0,6
"SnowBunting",6,6,9,12,7,0,0,11,0,0,13,6,9,6,12,6,18,6,6,0,0,14
"Sandpiper",10,10,12,14,10,0,0,0,11,0,15,10,13,10,20,10,30,10,10,0,11,16
"Ptarmigan",2,2,6,10,4,0,0,0,0,11,11,2,2,2,4,2,6,2,2,0,0,12
"Insects",1,1,3,5,2,0,0,0,0,0,5,1,1,1,2,1,3,1,1,0,0,6
"Dung",9,9,5,1,4,0,0,0,0,0,1,2,2,2,4,2,6,2,2,0,0,1
"Diptera",4,4,3,2,3,0,0,0,0,0,2,4,7,4,8,4,12,4,4,0,0,2
"Ducks",8,8,6,4,6,0,0,0,0,0,4,8,3,3,16,8,24,8,8,0,0,4
"SmallSeaBirds",0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11,0,0,0,0,0
"SkuaGulls",0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,11,0,0,0,0,0
"MarineAnimals",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
"Seals",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,0,0,0,0
"PolarBear",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,11,0,0,0
"ArcticFox",36,36,41,46,33,0,0,11,11,11,49,29,30,24,80,40,120,40,29,11,11,52
"Lepidurus",4,4,3,2,3,0,0,0,0,0,2,4,4,4,8,4,12,4,4,0,11,2
"Reindeer",1,1,3,5,2,0,0,0,0,0,5,1,1,1,2,1,3,1,1,0,0,5
