"","Nitrogen","Bacteria","MineralSalts","Plants","FreshH2OPlnktn","Worms","Geese","SnowBunting","Sandpiper","Ptarmigan","Insects","Dung","Diptera","Ducks","SmallSeaBirds","SkuaGulls","MarineAnimals","Seals","PolarBear","ArcticFox","Lepidurus","Reindeer"
"Nitrogen",0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Bacteria",0,0,0.2,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1
"MineralSalts",0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1
"Plants",1,1,0.3,0.6,1,1,1,1,1,1,0.7,1,1,1,1,1,1,1,1,1,1,0.7
"FreshH2OPlnktn",0,0,0.3,1,0.3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1
"Worms",1,1,0.3,0.6,1,0.1,1,1,1,1,0.7,1,1,1,1,1,1,1,1,1,1,0.7
"Geese",1,1,0.3,0.6,1,1,0.1,1,1,1,0.7,1,1,1,1,1,1,1,1,1,1,0.7
"SnowBunting",0.3,0.3,0.3,0.7,0.7,1,1,0.1,1,1,0.7,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,1,1,0.7
"Sandpiper",0.2,0.2,0.3,0.7,0.6,1,1,1,0.1,1,0.7,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1,0.1,0.8
"Ptarmigan",1,1,0.3,0.6,1,1,1,1,1,0.1,0.6,1,1,1,1,1,1,1,1,1,1,0.7
"Insects",1,1,0.3,0.6,1,1,1,1,1,1,0.6,1,1,1,1,1,1,1,1,1,1,0.7
"Dung",0.1,0.1,0.2,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1
"Diptera",0,0,0.3,1,0.3,1,1,1,1,1,1,0,0.1,0,0,0,0,0,0,1,1,1
"Ducks",0,0,0.3,1,0.3,1,1,1,1,1,1,0,0.3,0.3,0,0,0,0,0,1,1,1
"SmallSeaBirds",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.1,1,0.1,1,1,1,1,1
"SkuaGulls",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.1,0.1,0.1,1,1,1,1,1
"MarineAnimals",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.1,1,1,1,1,1
"Seals",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.1,0.1,1,1,1,1
"PolarBear",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.1,0.1,0.1,1,1,1
"ArcticFox",0.1,0.1,0.3,0.6,0.5,1,1,0.1,0.1,0.1,0.6,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.6
"Lepidurus",0,0,0.3,1,0.3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.1,1
"Reindeer",1,1,0.3,0.6,1,1,1,1,1,1,0.6,1,1,1,1,1,1,1,1,1,1,0.6
